"rule_id","domain","normalized_rule","current_locations","current_authority_class","proposed_canonical_owner","other_locations_action","compatibility_sensitive","test_coverage","layer","harness_component","stage1_action","notes"
"SAGE-AUTH-001","Authority","Project authority outranks SAGE-Kit defaults; SAGE-Kit authority outranks optional adapter and agent defaults without overriding host system authority.","docs/SAGE_CORE.md;docs/agent/AGENT_HARNESS.md;docs/agent/CAPABILITY_ADAPTERS.md","canonical-plus-guide-repetition","docs/SAGE_CORE.md","convert-to-reference","yes","tests/test_spec_sources.py;tests/test_active_scope.py","Context","ConstraintsRecovery","stage1a-authority-kernel-candidate","Proposed ownership only; preserve project-specific authority and approval gates."
"SAGE-AUTH-002","Authority","Non-trivial work requires an adopted active SPEC, phase, task, normalized manifest, execution packet, or explicit equivalent; path location alone is not authority.","docs/SAGE_CORE.md;docs/agent/AGENT_HARNESS.md;docs/QUALITY_GATES_TEMPLATE.md","canonical-plus-template-repetition","docs/SAGE_CORE.md","convert-to-reference","yes","tests/test_spec_sources.py;tests/test_active_scope.py","Context","Context","defer-outside-stage1a-1d","Templates retain the authority-reference field."
"SAGE-AUTH-003","Governance","Governance is selected per control scope: start Light and upgrade to Standard or Heavy only on defined risk triggers; parent Heavy governance does not make every worker Heavy.","docs/agent/GOVERNANCE_LEVELS.md;docs/SAGE_CORE.md;docs/agent/AGENT_HARNESS.md;docs/ENGINEERING_SYSTEM_TEMPLATE.md","canonical-plus-guide-and-template-repetition","docs/agent/GOVERNANCE_LEVELS.md","convert-to-reference","no","tests/unit/test_planning_depth_contract.py;tests/test_sagekit_check.py","Harness","Orchestration","stage1a-authority-kernel-candidate","Preserve Light, Standard, and Heavy user outcomes."
"SAGE-AUTH-004","Governance","Governance level and permission mode are independent; every active controller or worker records both and receives only the named mutation surface.","docs/agent/GOVERNANCE_LEVELS.md;docs/agent/AGENT_HARNESS.md;docs/QUALITY_GATES_TEMPLATE.md;docs/templates/MILESTONE_EXECUTION_PACKET_TEMPLATE.md","canonical-plus-template-fields","docs/agent/GOVERNANCE_LEVELS.md","retain-template-field","no","tests/unit/test_review_corrective_contracts.py;tests/unit/test_change_control_authority.py","Harness","ConstraintsRecovery","stage1a-authority-kernel-candidate","Retain packet fields; replace duplicated definitions with pointers."
"SAGE-AUTH-005","Roles","Project Manager decision, Coder implementation/orchestration, independent Final Review verdict, and acceptance remain separate authorities.","docs/agent/GOVERNANCE_LEVELS.md;docs/agent/SESSION_ORCHESTRATION.md;docs/agent/AGENT_HARNESS.md;docs/templates/MILESTONE_RESULT_PACKET_TEMPLATE.md;docs/templates/FINAL_REVIEW_PACKET_TEMPLATE.md","same-rule-different-wording","docs/agent/GOVERNANCE_LEVELS.md","convert-to-reference","no","tests/test_sagekit_check.py;tests/unit/test_review_corrective_contracts.py","Graph","Orchestration","stage1a-authority-kernel-candidate","Controller topology remains in Session Orchestration; authority meaning is proposed here."
"SAGE-AUTH-006","Roles","Final Review remains read-only; correction uses separately CORRECTIVE_AUTHORIZED workers and review verdict ownership stays independent from correction.","docs/agent/GOVERNANCE_LEVELS.md;docs/agent/SESSION_ORCHESTRATION.md;docs/ENGINEERING_SYSTEM_TEMPLATE.md;docs/templates/FINAL_REVIEW_PACKET_TEMPLATE.md;docs/templates/CORRECTIVE_PACKET_TEMPLATE.md","authority-rule-with-conflicting-template-wording","docs/agent/GOVERNANCE_LEVELS.md","convert-to-reference","no","tests/unit/test_review_corrective_contracts.py;tests/test_sagekit_check.py","Loop","ConstraintsRecovery","stage1a-authority-kernel-candidate","Engineering System wording can imply that the reviewer itself may receive corrective write authority."
"SAGE-AUTH-007","Roles","Commit, push, merge, publish, release, and cleanup require a distinct post-verdict SUBMIT_AUTHORIZED grant; implementation or review authority does not imply submit authority.","docs/agent/GOVERNANCE_LEVELS.md;docs/agent/AGENT_HARNESS.md;docs/ENGINEERING_SYSTEM_TEMPLATE.md;docs/templates/MILESTONE_EXECUTION_PACKET_TEMPLATE.md;docs/templates/MILESTONE_RESULT_PACKET_TEMPLATE.md","canonical-plus-template-repetition","docs/agent/GOVERNANCE_LEVELS.md","retain-template-field","yes","tests/unit/test_change_control_authority.py;tests/test_sagekit_check.py","Graph","ConstraintsRecovery","stage1a-authority-kernel-candidate","A separate node is optional; the permission boundary is not."
"SAGE-AUTH-008","Waiver","Finding ownership does not grant waiver authority; waivers require the named Waiver Authority or explicit delegation and human-only gates remain with their named human authority.","docs/agent/GOVERNANCE_LEVELS.md;docs/QUALITY_GATES_TEMPLATE.md;docs/templates/ENTRY_GATE_TEMPLATE.md;docs/templates/MILESTONE_CLOSEOUT_TEMPLATE.md","canonical-plus-weaker-template-wording","docs/agent/GOVERNANCE_LEVELS.md","convert-to-reference","no","tests/test_sagekit_check.py","Harness","ConstraintsRecovery","stage1a-authority-kernel-candidate","Generic project-owner waiver wording must not broaden authority."
"SAGE-AUTH-009","Approval","Approval is explicit and target-scoped; agents cannot infer, broaden, or cross closed approval gates or perform runtime, destructive, external, or submit mutations beyond the grant.","docs/SAGE_CORE.md;docs/APPROVAL_GATES_TEMPLATE.md;docs/agent/AGENT_HARNESS.md;docs/templates/AGENT_PROMPT_TEMPLATE.md","core-principle-plus-template-catalog","docs/SAGE_CORE.md","retain-template-field","yes","tests/unit/test_change_control_authority.py;tests/test_sagekit_check.py","Harness","ConstraintsRecovery","stage1a-authority-kernel-candidate","Project instances continue to own their exact gates."
"SAGE-AUTH-010","Prompt Envelope","A launch-only delta may clarify reporting or order but cannot change scope, gates, permissions, ownership, contracts, or runtime authority; missing or contradictory authority fails closed before edits.","docs/templates/AGENT_PROMPT_TEMPLATE.md;docs/templates/MILESTONE_EXECUTION_PACKET_TEMPLATE.md","near-exact-template-duplicate","docs/agent/AGENT_HARNESS.md","convert-to-reference","no","tests/test_sagekit_check.py::test_controller_launch_envelope_references_readable_project_authority","Prompt","Context","stage1b-context-graph-pointers-unauthorized","Templates retain envelope fields and a pointer."
"SAGE-AUTH-011","Serial Authority","Configured active-context and routing files have one serial owner; parallel workers return proposals and only an owner with matching permission applies updates.","docs/agent/SPEC_SOURCE_CONTRACT.md;docs/agent/AGENT_HARNESS.md;docs/SAGE_CORE.md;skills/sage-kit/SKILL.md;skills/sage-kit/references/claude/hooks/protect-serial-files.sh;skills/sage-kit/references/claude/hooks/protect-serial-files.ps1","canonical-context-rule-plus-local-host-enforcement","docs/agent/AGENT_HARNESS.md","retain-guide","yes","tests/test_claude_hooks.ps1;tests/test_claude_hooks.sh","Harness","ConstraintsRecovery","defer-outside-stage1a-1d","Location map: SPEC Source=canonical-context; Harness=proposed operational owner; Core and Skill=reference; both hooks=retain platform enforcement."
"SAGE-CTX-001","Source Selection","Resolve one current execution source in the order explicit source, configured mapping, ACTIVE_CONTEXT pointer, then explicitly enabled legacy adapter; explicit or configured failure has no legacy fallback.","docs/agent/SPEC_SOURCE_CONTRACT.md;docs/SAGE_CORE.md;docs/agent/AGENT_HARNESS.md;skills/sage-kit/SKILL.md;skills/sage-kit/references/adoption.md;skills/sage-kit/references/planning.md;skills/sage-kit/references/execution.md;skills/sage-kit/references/review-completion.md","canonical-plus-extensive-guide-repetition","docs/agent/SPEC_SOURCE_CONTRACT.md","convert-to-reference","yes","tests/test_spec_sources.py;tests/test_active_scope.py;tests/test_validation_compatibility.py","Context","Context","stage1b-context-graph-pointers-unauthorized","Location map: SPEC Source=canonical; Core/Harness/Skill/generic references=convert normative copy to pointer while retaining routing guidance."
"SAGE-CTX-002","Source Classification","ACTIVE_SPEC is executable authority; ACTIVE_CONTEXT is a compact handoff; ACCEPTED_HISTORY and REFERENCE_ONLY are non-executable; transient run state belongs under runtime state.","docs/agent/SPEC_SOURCE_CONTRACT.md;docs/SAGE_CORE.md;docs/agent/AGENT_HARNESS.md;skills/sage-kit/references/adoption.md","canonical-plus-guide-repetition","docs/agent/SPEC_SOURCE_CONTRACT.md","convert-to-reference","yes","tests/test_spec_sources.py;tests/test_active_scope.py","Context","StateMemory","stage1b-context-graph-pointers-unauthorized","Do not promote history or handoff summaries into execution authority."
"SAGE-CTX-003","Adoption","Default adoption is package-bound and version or digest bound; installed Skill and generic templates are not project authority; legacy projects remain supported without forced migration.","docs/SAGE_CORE.md;docs/agent/SPEC_SOURCE_CONTRACT.md;skills/sage-kit/SKILL.md;skills/sage-kit/references/adoption.md","canonical-plus-routing-repetition","docs/SAGE_CORE.md","convert-to-reference","yes","tests/test_thin_documentation.py;tests/test_spec_sources.py","Context","Context","defer-outside-stage1a-1d","Vendoring remains explicit legacy compatibility."
"SAGE-CTX-004","Context State","ACTIVE_CONTEXT is current handoff truth, not history or runtime state; it stays compact and links to authority rather than copying it.","docs/agent/SPEC_SOURCE_CONTRACT.md;docs/agent/AGENT_HARNESS.md;docs/SAGE_CORE.md;docs/ENGINEERING_SYSTEM_TEMPLATE.md","same-rule-plus-local-write-constraint","docs/agent/SPEC_SOURCE_CONTRACT.md","convert-to-reference","yes","tests/test_active_scope.py;tests/test_spec_sources.py","Context","StateMemory","defer-outside-stage1a-1d","Harness may retain only its serial-write delta."
"SAGE-CTX-005","Context Loading","Load active authority and capability metadata first, then only task-relevant Skill or reference bodies; broaden context only for a named correctness, safety, or acceptance decision.","docs/agent/AGENT_HARNESS.md;skills/sage-kit/SKILL.md","same-rule-different-wording","docs/agent/AGENT_HARNESS.md","convert-to-reference","no","tests/test_thin_documentation.py","Context","Context","stage1b-context-graph-pointers-unauthorized","Reduces repeated startup context."
"SAGE-CTX-006","History","Accepted history keeps its selected contract and is not batch rewritten; current work uses current checks while immutable accepted work receives historical integrity checks.","docs/agent/VALIDATION_CONTRACT_COMPATIBILITY.md;docs/SAGE_CORE.md;docs/agent/SPEC_SOURCE_CONTRACT.md","compatibility-rule-plus-core-principle","docs/agent/VALIDATION_CONTRACT_COMPATIBILITY.md","convert-to-reference","yes","tests/test_validation_compatibility.py;tests/test_frozen_contracts_and_containers.py","Context","StateMemory","defer-outside-stage1a-1d","Core retains the general principle; this path owns selector semantics."
"SAGE-CTX-007","Scope Authority","Validation scope authority is invocation manifest, project manifest, structured active context, then conservative current-or-ambiguous handling; closeout alone cannot authorize immutable history.","docs/agent/VALIDATION_CONTRACT_COMPATIBILITY.md","canonical-compatibility","docs/agent/VALIDATION_CONTRACT_COMPATIBILITY.md","retain-canonical","yes","tests/test_validation_scope_manifest.py;tests/test_validation_compatibility.py","Context","StateMemory","preserve-only-outside-stage1a-1d","No duplicate authority established."
"SAGE-GRF-001","Graph Admission","Begin with one bounded loop; admit a graph only for a concrete dependency, independent context or tool boundary, safe parallel work and join, independent evaluator, authority separation, or state boundary.","docs/SAGE_CORE.md;docs/agent/MILESTONE_PLANNING.md;docs/agent/SESSION_ORCHESTRATION.md;docs/agent/WAVE_EXECUTION.md;rebuild.md","distributed-current-guidance-plus-blueprint-proposal","docs/SAGE_CORE.md","convert-to-reference","no","tests/unit/test_planning_depth_contract.py;tests/test_sagekit_check.py","Graph","Orchestration","stage1b-context-graph-pointers-unauthorized","Graph is never mandatory for Light work."
"SAGE-GRF-002","Execution Shape","Before choosing execution shape record the dependency DAG, parallel candidates, serial barriers, and phase-internal lanes; SERIAL needs a concrete dependency, ownership conflict, gate, or runtime constraint.","docs/agent/MILESTONE_PLANNING.md;docs/agent/SESSION_ORCHESTRATION.md;docs/agent/WAVE_EXECUTION.md;docs/templates/MILESTONE_EXECUTION_PACKET_TEMPLATE.md","same-rule-different-wording","docs/agent/WAVE_EXECUTION.md","retain-template-field","no","tests/test_sagekit_check.py::test_planning_isolates_serial_barriers_before_rejecting_parallelism","Graph","Orchestration","stage1b-context-graph-pointers-unauthorized","Planning retains activation; packet retains fields."
"SAGE-GRF-003","Parallel Ownership","Parallel writable lanes require mutually exclusive writable ownership; shared files have one serial integration owner and overlapping lanes must merge, reassign, or become read-only before edits.","docs/agent/WAVE_EXECUTION.md;docs/agent/SESSION_ORCHESTRATION.md;docs/agent/MILESTONE_PLANNING.md;docs/agent/WORKTREE_ISOLATION.md;docs/templates/MILESTONE_TEMPLATE.md;docs/templates/ENTRY_GATE_TEMPLATE.md;docs/templates/MILESTONE_EXECUTION_PACKET_TEMPLATE.md","same-rule-plus-stronger-local-isolation-constraint","docs/agent/WAVE_EXECUTION.md","retain-template-field","yes","tests/test_sagekit_check.py;tests/test_convergence_authority.py","Graph","Orchestration","defer-outside-stage1a-1d",""
"SAGE-GRF-004","Serial Barriers","Public contract freeze, shared-file integration, approval gates, final integration, context or ledger updates, closeout, and real shared runtime smoke stay serial unless ownership is exclusive.","docs/agent/WAVE_EXECUTION.md;docs/agent/PHASE_EXECUTION.md;docs/agent/SESSION_ORCHESTRATION.md;docs/agent/WORKTREE_ISOLATION.md;docs/templates/WAVE_PLAN_TEMPLATE.md","base-rule-plus-local-constraints","docs/agent/WAVE_EXECUTION.md","retain-guide","yes","tests/test_sagekit_check.py","Graph","Orchestration","defer-outside-stage1a-1d","Do not flatten stronger runtime or isolation gates."
"SAGE-GRF-005","Affected Serialization","A failed readiness item serializes only the affected node; unrelated candidates remain eligible, and milestone-wide SERIAL is used only when the barrier cannot be isolated.","docs/agent/WAVE_EXECUTION.md;docs/agent/SESSION_ORCHESTRATION.md;docs/agent/MILESTONE_PLANNING.md","near-exact-duplicate","docs/agent/WAVE_EXECUTION.md","convert-to-reference","no","tests/test_sagekit_check.py::test_planning_isolates_serial_barriers_before_rejecting_parallelism","Graph","Orchestration","stage1b-context-graph-pointers-unauthorized","Prevents broad serialization without decision value."
"SAGE-GRF-006","Graph Change","Do not repartition active execution by default; apply a new graph or wave shape at the next safe barrier unless active authority permits repartitioning.","docs/agent/WAVE_EXECUTION.md;docs/agent/SESSION_ORCHESTRATION.md;docs/agent/MILESTONE_PLANNING.md","near-exact-duplicate","docs/agent/WAVE_EXECUTION.md","convert-to-reference","no","tests/test_sagekit_check.py","Graph","Orchestration","stage1b-context-graph-pointers-unauthorized","No runtime Graph evolution is authorized in Stage 1."
"SAGE-GRF-007","Wave Guide","The usual wave pattern is serial setup, parallel read-only discovery, serial contract and ownership freeze, parallel disjoint writes, parallel isolated validation, then serial integration and handoff.","docs/agent/WAVE_EXECUTION.md;docs/templates/WAVE_PLAN_TEMPLATE.md;docs/templates/PHASE_TEMPLATE.md","guide-example-repetition","docs/agent/WAVE_EXECUTION.md","retain-guide","no","tests/test_sagekit_check.py","Graph","Orchestration","defer-outside-stage1a-1d","This is a guide pattern, not mandatory topology."
"SAGE-GRF-008","Controller Topology","Heavy milestone flow is PM issue, Coder orchestration and result, PM structural gate, independent Final Review, bounded correction or re-review, PM decision, then ledger and closeout.","docs/agent/SESSION_ORCHESTRATION.md;docs/templates/MILESTONE_EXECUTION_PACKET_TEMPLATE.md;docs/templates/MILESTONE_RESULT_PACKET_TEMPLATE.md;docs/templates/MILESTONE_TEMPLATE.md","canonical-topology-plus-template-fields","docs/agent/SESSION_ORCHESTRATION.md","retain-template-field","no","tests/test_sagekit_check.py","Graph","Orchestration","defer-outside-stage1a-1d","Entry Gate currently omits part of this chain."
"SAGE-GRF-009","Controller Edits","Coder normally orchestrates workers; direct edits are limited to narrow named controller-owned integration or packet work with explicit ownership, tests, stops, and independent review.","docs/agent/SESSION_ORCHESTRATION.md;docs/templates/MILESTONE_TEMPLATE.md;docs/templates/ENTRY_GATE_TEMPLATE.md;docs/templates/MILESTONE_EXECUTION_PACKET_TEMPLATE.md","one-rule-plus-template-fields","docs/agent/SESSION_ORCHESTRATION.md","retain-template-field","no","tests/test_sagekit_check.py","Graph","Orchestration","defer-outside-stage1a-1d","A narrow integration worker may collapse into Coder only under this rule."
"SAGE-GRF-010","Controller Count","Use normally one Coder Controller and one Final Review Controller; add controllers only for separate scope, context contamination, specialized review, or independent runtime ownership.","docs/agent/SESSION_ORCHESTRATION.md","canonical-orchestration","docs/agent/SESSION_ORCHESTRATION.md","retain-canonical","no","tests/test_sagekit_check.py","Graph","Orchestration","preserve-only-outside-stage1a-1d","Primary anti-duplication and collapsibility guard."
"SAGE-GRF-011","Lane Status","Lane results distinguish DONE, DONE_WITH_CONCERNS, HANDOFF, and BLOCKED; HANDOFF is nonterminal and DONE_WITH_CONCERNS cannot auto-advance.","docs/agent/WAVE_EXECUTION.md;docs/templates/LANE_PACKET_TEMPLATE.md;docs/templates/MILESTONE_RESULT_PACKET_TEMPLATE.md","actual-status-ambiguity","docs/agent/WAVE_EXECUTION.md","retain-template-field","no","tests/test_sagekit_check.py","Graph","StateMemory","stage1b-context-graph-pointers-unauthorized","Wave Execution omits HANDOFF from one status list while templates permit it."
"SAGE-GRF-012","Worktree Isolation","Worktree isolation is optional and PM-authorized; PM names mode, count, base, naming, eligible scopes, serial files, runtime, integration, submit, and cleanup ownership.","docs/agent/WORKTREE_ISOLATION.md;docs/agent/SESSION_ORCHESTRATION.md;docs/templates/MILESTONE_TEMPLATE.md;docs/templates/ENTRY_GATE_TEMPLATE.md;skills/sage-kit/SKILL.md","canonical-policy-plus-guide-and-template-repetition","docs/agent/WORKTREE_ISOLATION.md","retain-template-field","yes","tests/test_claude_hooks.ps1;tests/test_claude_hooks.sh","Harness","Tools","defer-outside-stage1a-1d","Final Review cannot create or mutate its review worktree."
"SAGE-GRF-013","Worktree Recovery","Worktrees enable parallelism only with disjoint writes and nonconflicting runtime or dependency ownership; cleanup requires preservation, evidence, process checks, and a separately authorized owner.","docs/agent/WORKTREE_ISOLATION.md;docs/agent/SESSION_ORCHESTRATION.md","canonical-policy-plus-guide-repetition","docs/agent/WORKTREE_ISOLATION.md","convert-to-reference","yes","tests/integration/test_process_supervisor.py;tests/test_convergence_authority.py","Harness","ConstraintsRecovery","defer-outside-stage1a-1d","Never infer cleanup authority from implementation or review."
"SAGE-LOOP-001","Change Classification","C0 record-only work receives targeted consistency verification; C1 may auto-correct only in a bounded authorized envelope; C2 needs matching semantic authority; C3 external or destructive work needs human decision.","docs/agent/EXECUTION_ECONOMY.md;skills/sage-kit/references/review-completion.md;docs/templates/CORRECTIVE_PACKET_TEMPLATE.md","canonical-plus-guide-template-repetition","docs/agent/EXECUTION_ECONOMY.md","convert-to-reference","no","tests/test_execution_economy.py","Loop","ConstraintsRecovery","stage1c-loop-review-consolidation-unauthorized","Template retains change-class and authority fields."
"SAGE-LOOP-002","Review Topology","Each unit uses one primary review topology; Light has focused verification by default, Standard adds affected-lane review when required, and Heavy has lane or wave review plus one final integration review; reviewer stacking needs concrete risk.","docs/agent/EXECUTION_ECONOMY.md;sagekit/review.py;skills/sage-kit/references/review-completion.md;docs/templates/FINAL_REVIEW_PACKET_TEMPLATE.md","canonical-plus-runtime-and-guide-repetition","docs/agent/EXECUTION_ECONOMY.md","convert-to-reference","no","tests/test_execution_economy.py;tests/unit/test_lane_c_review_convergence.py","Loop","Orchestration","stage1c-loop-review-consolidation-unauthorized","Do not make an independent reviewer mandatory for Light."
"SAGE-LOOP-003","Verification Ladder","Verification escalates focused, affected-lane, then final integration; expensive verification is eligible only for a matching frozen candidate after review and corrective closure and runs once per candidate and kind.","docs/agent/EXECUTION_ECONOMY.md;skills/sage-kit/SKILL.md;skills/sage-kit/references/execution.md;sagekit/candidate.py","canonical-plus-runtime-and-skill-repetition","docs/agent/EXECUTION_ECONOMY.md","convert-to-reference","yes","tests/test_execution_economy.py;tests/test_verification_lifecycle.py","Loop","EvaluationObservability","stage1c-loop-review-consolidation-unauthorized","Current tests phrase-couple the duplicate Skill text."
"SAGE-LOOP-004","Attempt State","Final verification attempt state is PREFLIGHT, READY, STARTED, then PASSED, FAILED, or ABORTED; only STARTED consumes budget and attempt identity is idempotent across resume.","docs/agent/EXECUTION_ECONOMY.md;docs/agent/CONTINUITY_PROTOCOL.md;sagekit/continuity.py","canonical-loop-rule-plus-checkpoint-projection","docs/agent/EXECUTION_ECONOMY.md","retain-guide","yes","tests/test_verification_lifecycle.py;tests/unit/test_checkpoint_current_authority.py","Loop","StateMemory","defer-outside-stage1a-1d","Continuity owns persisted representation, not the decision."
"SAGE-LOOP-005","Verification Dependencies","A failed verification node skips only dependent successors while independent nodes continue; the helper is not a general scheduler.","docs/agent/EXECUTION_ECONOMY.md","canonical-loop-rule","docs/agent/EXECUTION_ECONOMY.md","retain-canonical","no","tests/test_verification_lifecycle.py","Loop","Orchestration","preserve-only-outside-stage1a-1d","Do not expand this into a Stage 1 scheduler."
"SAGE-LOOP-006","Candidate Binding","A frozen candidate binds repository inputs, review closure, corrective closure, contracts, and dependencies; clean-head is default, working-tree mode is explicit and digest-bound, and modes never silently fall back.","docs/agent/EXECUTION_ECONOMY.md;docs/agent/CONTINUITY_PROTOCOL.md;sagekit/candidate.py;skills/sage-kit/SKILL.md","canonical-plus-runtime-and-guide-repetition","docs/agent/EXECUTION_ECONOMY.md","convert-to-reference","yes","tests/test_execution_economy.py;tests/unit/test_candidate_snapshot.py","Loop","StateMemory","stage1c-loop-review-consolidation-unauthorized","Preserve candidate fingerprint version compatibility."
"SAGE-LOOP-007","Evidence","Evidence is immutable at its original identity; reuse is a separate decision, unchanged matching evidence is reused, and invalidation is limited to affected paths, contracts, dependencies, toolchains, platforms, authority versions, or candidate-bound evidence.","docs/agent/EXECUTION_ECONOMY.md;sagekit/evidence.py;docs/agent/CONTINUITY_PROTOCOL.md;skills/sage-kit/references/execution.md","canonical-plus-runtime-and-guide-repetition","docs/agent/EXECUTION_ECONOMY.md","convert-to-reference","yes","tests/test_execution_economy.py::EvidenceTests","Loop","EvaluationObservability","stage1c-loop-review-consolidation-unauthorized","Runtime implementation is not a competing documentation authority."
"SAGE-LOOP-008","Convergence","Finding-count or severity reduction resets no-progress; one stagnant same-root round is recorded, two consecutive stagnant rounds are BLOCKED, and a local event limit produces HANDOFF_READY rather than a false blocker.","docs/agent/EXECUTION_ECONOMY.md;docs/agent/SESSION_ORCHESTRATION.md;sagekit/convergence.py;sagekit/review.py;docs/templates/CORRECTIVE_PACKET_TEMPLATE.md;docs/templates/STRUCTURAL_GATE_TEMPLATE.md","actual-authority-conflict-resolved-by-current-precedence-and-runtime","docs/agent/EXECUTION_ECONOMY.md","convert-to-reference","no","tests/test_convergence_authority.py;tests/unit/test_lane_c_review_convergence.py","Loop","ConstraintsRecovery","stage1c-loop-review-consolidation-unauthorized","Location map: Economy=proposed canonical; convergence/review modules=implementation evidence; Session, Corrective and Structural Gate conflicting copies=pointer/correction."
"SAGE-LOOP-009","Convergence Window","A Preauthorized Convergence Window is explicit and opt-in, binds scope, paths, invariant, root-cause family, approval and stops, permits only implementation-preserving successors, and hands off on authority or scope expansion.","docs/agent/EXECUTION_ECONOMY.md;sagekit/convergence.py;docs/agent/CONTINUITY_PROTOCOL.md;docs/templates/CORRECTIVE_PACKET_TEMPLATE.md","canonical-plus-runtime-template-fields","docs/agent/EXECUTION_ECONOMY.md","retain-template-field","yes","tests/test_convergence_authority.py","Loop","ConstraintsRecovery","stage1c-loop-review-consolidation-unauthorized","Do not make the window automatic."
"SAGE-LOOP-010","Re-review Scope","Initial review batches findings once; corrective re-review checks original closure, direct regressions, new P0/P1, and authority or false-green blocking P2; unrelated ordinary P2/P3 enters backlog.","docs/agent/EXECUTION_ECONOMY.md;sagekit/review.py;skills/sage-kit/references/review-completion.md;docs/agent/SESSION_ORCHESTRATION.md;docs/templates/FINAL_REVIEW_PACKET_TEMPLATE.md","canonical-plus-runtime-and-guide-repetition","docs/agent/EXECUTION_ECONOMY.md","convert-to-reference","no","tests/unit/test_lane_c_review_convergence.py;tests/test_execution_economy.py","Loop","EvaluationObservability","stage1c-loop-review-consolidation-unauthorized","A stronger runtime safety category remains an unresolved narrow reconciliation."
"SAGE-LOOP-011","Deterministic Closure","Deterministic Closure is allowed only for a pre-authored MECHANICAL_STATUS predicate binding finding, fields, authority, allowed diff, checks, hashes, receipt owner, and verdict; ambiguity falls back to targeted or full review.","docs/agent/SESSION_ORCHESTRATION.md;skills/sage-kit/references/review-completion.md;docs/templates/FINAL_REVIEW_PACKET_TEMPLATE.md;docs/templates/CORRECTIVE_PACKET_TEMPLATE.md;docs/templates/COMPLETION_REPORT_TEMPLATE.md","detailed-current-authority-plus-guide-template-repetition","docs/agent/SESSION_ORCHESTRATION.md","retain-template-field","no","tests/test_sagekit_check.py::test_deterministic_closure_contract_is_complete_and_preserves_authority","Loop","EvaluationObservability","stage1c-loop-review-consolidation-unauthorized","Do not move this subsection in the minimal Stage 1 diff."
"SAGE-LOOP-012","Mechanical Normalization","Ordinary EOF, final-newline, or trailing-whitespace findings in exact writable scope route to byte-bound normalization and focused checks, never to a product blocker; protected or semantic bytes fail closed.","docs/agent/EXECUTION_ECONOMY.md;sagekit/candidate.py;skills/sage-kit/references/review-completion.md","canonical-plus-runtime-guide-repetition","docs/agent/EXECUTION_ECONOMY.md","convert-to-reference","yes","tests/unit/test_normalization.py;tests/unit/test_candidate_snapshot.py","Loop","ConstraintsRecovery","stage1c-loop-review-consolidation-unauthorized","Historical and checksum-bound content is excluded."
